ID	Time
150040380	08:24
150040396	07:15
150040716	02:00
150040722	10:08
150040738	18:00
150040744	10:38
150041043	12:30
150041156	16:00
150041441	00:30
150041526	13:37
150028029	23:00
150028035	19:10
150028201	21:55
150028223	01:49
150028411	05:04
150028449	21:00
150028615	20:00
150028615	20:00
150028825	10:30
150028825	10:30
150029005	11:21
150029005	11:21
150029083	12:56
150029099	10:45
150274476	23:00
150299418	18:55
150299446	20:10
150302146	19:10
150029243	12:00
150307481	14:00
150308257	12:00
150308451	20:49
150286108	13:30
150310525	16:05
150287598	22:00
150311868	23:55
150029481	05:00
150029732	16:03
150029914	09:42
150029914	09:42
150030171	12:03
150030400	15:45
150030416	21:17
150296975	23:31
150320433	20:25
150030507	19:10
150030507	19:10
150030513	19:30
150299333	20:52
150322724	15:39
150323590	16:15
150323982	22:35
150030698	23:51
150030698	23:51
150030698	23:51
150030701	22:00
150301091	12:00
150324300	00:35
150326544	12:00
150327467	23:40
150030814	23:25
150030977	22:00
150031226	04:36
150031232	04:45
150031248	02:00
150335686	14:00
150031414	08:15
150031630	10:46
150031652	01:00
150031668	11:45
150337701	02:30
150317468	13:45
150339111	21:30
150031947	13:16
150031953	13:14
150031953	13:14
150340914	21:00
150032202	14:37
150032218	15:06
150032569	16:36
150032575	16:08
150032804	11:20
150033078	20:31
150033103	15:00
150033119	20:48
150033125	20:15
150033266	21:50
150033272	20:30
150033272	20:30
150033294	22:30
150349706	01:00
150033448	00:53
150033614	15:00
150033620	03:00
150033636	17:30
150033664	21:30
150351369	17:08
150033852	08:27
150033896	14:00
150034236	11:11
150034258	16:00
150034327	11:35
150034628	12:20
150034628	12:20
150358622	21:14
150034872	14:00
150034929	13:30
150034929	13:30
150034935	14:04
150035115	10:00
150035137	13:00
150035347	08:05
150035375	15:19
150035381	17:30
150035416	11:00
150035626	17:40
150035648	16:20
150364356	01:45
150366788	08:00
150036107	19:20
150036113	18:00
150036129	19:40
150036204	19:55
150351767	16:39
150370591	21:28
150372111	09:08
150036389	16:00
150036395	17:00
150036618	23:00
150036674	20:35
150364657	20:31
150382245	16:47
150036840	00:01
150036840	00:01
150036840	00:01
150036856	00:35
150383572	21:00
150037111	06:29
150037252	20:30
150069233	04:00
150069249	02:00
150069528	08:45
150070036	12:35
150070042	11:50
150070456	14:50
150070490	15:50
150070490	15:50
150070503	00:01
150070967	17:30
150070973	00:01
150071062	22:00
150071313	19:19
150071313	19:19
150071313	19:19
150071335	17:00
150403619	21:00
150071454	20:37
150071755	08:20
150071783	23:00
150071799	19:00
150071802	22:20
150071993	23:20
150072333	19:00
150072606	02:45
150072606	02:45
150072781	21:00
150072781	21:00
150421627	01:53
150422192	09:30
150425538	10:24
150430145	22:00
150073096	20:30
150073109	10:20
150073331	22:00
150073331	22:00
150073347	22:30
150073353	13:00
150073660	14:55
150073698	19:30
150073983	00:01
150074232	18:09
150074232	18:09
150074248	17:51
150074323	15:30
150439012	18:30
150074561	10:20
150074577	20:36
150074709	21:05
150074709	21:05
150074969	23:19
150074969	23:19
150075503	06:00
150075876	22:00
150075882	09:11
150075898	10:59
150075898	10:59
150450870	02:00
150076040	18:00
150076410	14:10
150076426	15:23
150076432	12:30
150076482	15:33
150452428	11:30
150453216	18:00
150076670	14:50
150076670	14:50
150076777	17:32
150076783	00:30
150077101	19:31
150077117	19:15
150077123	19:40
150077242	18:00
150077521	18:00
150077521	18:00
150455927	07:30
150077894	02:38
150077935	10:00
150077941	05:10
150077957	05:15
150078228	08:00
150078234	08:50
150462289	12:00
150078529	10:00
150463130	19:00
150078808	23:00
150079088	13:50
150079094	13:09
150079107	20:00
150079113	18:00
150467223	00:50
150079339	15:30
150079602	16:11
150079624	16:35
150468657	11:20
150079969	12:17
150079975	18:09
150080160	04:00
150080160	04:00
150080182	19:16
150080198	19:27
150080358	00:37
150080524	10:00
150080530	22:30
150476735	00:01
150080734	21:45
150486728	22:15
150080875	01:45
150080881	23:30
150080897	03:49
150080916	03:39
150081215	09:31
150081215	09:31
150081475	09:15
150081497	10:14
150081497	10:14
150081516	08:40
150491868	00:01
150081629	21:30
150081635	11:24
150495036	16:52
150082031	12:32
150082047	11:00
150082047	11:00
150497690	15:01
150082207	12:40
150082213	17:00
150082229	13:46
150082279	13:50
150082445	12:16
150082451	12:00
150082677	09:13
150082683	16:10
150082699	10:30
150082702	13:50
150082871	16:50
150082871	16:50
150082887	14:00
150082893	10:00
150082928	15:30
150503322	12:00
150083051	17:45
150083073	15:45
150083324	18:15
150083346	18:28
150083528	12:00
150083528	12:00
150083534	18:00
150083653	21:44
150083653	21:44
150083835	22:43
150083835	22:43
150083841	19:05
150083857	20:45
150508178	21:10
150084087	19:00
150084297	05:31
150084297	05:31
150084316	05:48
150084338	07:04
150084435	08:03
150084435	08:03
150084435	08:03
150084441	07:45
150517618	05:48
150084639	09:03
150084645	09:25
150084645	09:25
150084651	09:18
150084849	15:45
150084861	19:00
150085126	21:30
150085126	21:30
150085411	12:35
150085427	12:55
150085433	08:00
150523916	19:10
150085568	12:00
150527639	01:44
150529588	12:00
150085790	14:17
150085790	14:17
150085966	14:42
150085972	14:18
150085988	08:00
150086011	18:00
150086221	14:10
150086340	09:30
150536301	22:05
150536931	03:00
150537973	14:15
150086384	10:40
150086384	10:40
150086384	10:40
150086390	14:30
150086516	17:23
150086754	19:43
150086920	14:45
150086936	19:30
150087122	20:00
150087138	21:30
150551343	18:17
150551547	16:00
150552523	03:00
150087326	21:00
150087348	18:30
150087570	03:03
150087586	00:30
150087752	07:15
150087768	08:03
150087990	09:05
150088170	10:25
150088186	10:55
150563053	10:00
150566756	00:05
150567243	11:00
150088318	10:50
150571272	18:00
150572656	22:30
150088590	13:23
150578278	21:00
150579583	21:00
150581889	10:00
150088738	02:00
150088744	13:45
150088982	14:50
150089009	07:20
150584968	16:18
150089178	14:00
150089457	17:06
150089485	17:15
150089689	16:00
150089689	16:00
150089695	18:13
150089695	18:13
150590987	12:57
150089849	18:50
150089849	18:50
150089996	17:30
150090006	10:00
150090012	20:25
150090028	20:30
150090153	21:50
150596189	23:36
150090460	23:55
150090670	01:50
150599105	22:35
150601380	14:30
150603411	11:15
150090874	07:22
150090874	07:22
150609845	13:15
150091082	23:00
150091098	09:20
150611646	00:19
150612581	11:12
150091305	09:38
150091327	08:00
150613749	16:59
150614612	23:08
150091537	10:50
150615159	17:15
150616210	15:43
150091690	22:30
150091753	06:30
150091769	12:55
150091775	12:45
150620017	13:00
150091963	23:00
150091979	14:30
150092212	14:50
150092375	16:39
150092381	16:20
150092400	20:19
150092416	16:17
150092535	16:40
150092739	17:00
150092745	10:24
150093088	20:28
150093248	20:00
150093254	21:08
150093464	22:12
150631860	18:06
150093618	22:10
150093630	18:00
150093630	18:00
150093646	23:17
150635583	18:30
150093793	22:00
150093806	22:18
150093806	22:18
150093806	22:18
150093919	22:15
150093969	16:15
150094133	14:00
150094280	07:53
150094315	09:15
150640247	12:14
150642607	15:20
150094490	10:15
150094490	10:15
150094644	11:26
150094898	15:00
150094901	10:30
150647679	11:00
150095119	20:00
150095131	00:01
150654339	15:00
150095404	06:00
150095410	16:16
150095595	00:30
150095777	13:30
150095783	14:05
150095921	00:01
150095943	19:17
150095943	19:17
150095943	19:17
150096076	19:11
150096082	20:10
150096082	20:10
150096082	20:10
150096195	20:48
150096208	09:30
150096208	09:30
150096220	19:00
